Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$134.8175,1.7075,1.283%,2337376835450.00,United States,1980,38128541,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$587.56,7.90,1.363%,280853680000.00,United States,1986,899339,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3426.00,24.54,0.721%,1727813119536.00,United States,1997,1245589,Consumer Services,Catalog/Specialty Distribution
CMCSA,Comcast Corporation Class A Common Stock,$56.195,-0.225,-0.399%,258176081313.00,United States,,5331018,Consumer Services,Television Services
CSCO,Cisco Systems Inc. Common Stock (DE),$52.995,-0.065,-0.123%,223733525063.00,United States,1990,4843892,Public Utilities,Telecommunications Equipment
CSGP,CoStar Group Inc. Common Stock,$84.98,-3.285,-3.722%,3356161879000.00,United States,1998,2234019,Finance,Real Estate
CSX,CSX Corporation Common Stock,$95.355,-0.555,-0.579%,216665692790.00,United States,,1248373,Transportation,Railroads
FB,Facebook Inc. Class A Common Stock,$344.0987,2.7287,0.799%,975679763275.00,United States,2012,5757585,Technology,Internet and Information Services
GOOG,Alphabet Inc. Class C Capital Stock,$2531.0275,-8.8725,-0.349%,1696202989587.00,United States,2004,651250,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2439.76,-10.41,-0.425%,1635038815610.00,United States,,554899,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$57.535,1.625,2.906%,232326330000.00,United States,,13252021,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$268.02,3.00,1.132%,2018612611159.00,United States,1986,9968353,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$530.39,3.32,0.63%,235176377147.00,United States,2002,1549702,Consumer Services,Movies/Entertainment
NVDA,NVIDIA Corporation Common Stock,$799.98,38.74,5.089%,498387540000.00,United States,1999,9195328,Technology,Semiconductors
PEP,PepsiCo Inc. Common Stock,$146.8929,0.4829,0.33%,202951823100.00,United States,,1927847,Consumer Non-Durables,Beverages (Production/Distribution)
PYPL,PayPal Holdings Inc. Common Stock,$292.98,3.38,1.167%,344171825261.00,United States,,2833517,Miscellaneous,Business Services
TSLA,Tesla Inc. Common Stock,$685.00,13.13,1.954%,659881356880.00,United States,2010,15760002,Capital Goods,Auto Manufacturing
