Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQM,037833100,AAPL ,"885,340","117,847,607.40",10.834,Apple Inc,Common Stock,Information Technology,06/25/2021
QQQM,594918104,MSFT ,"399,576","105,895,631.52",9.735,Microsoft Corp,Common Stock,Information Technology,06/25/2021
QQQM,023135106,AMZN ,"26,745","90,972,047.70",8.363,Amazon.com Inc,Common Stock,Consumer Discretionary,06/25/2021
QQQM,02079K107,GOOG ,"17,177","43,627,862.30",4.011,Alphabet Inc,Common Stock,Communication Services,06/25/2021
QQQM,30303M102,FB ,"127,119","43,394,613.03",3.989,Facebook Inc,Common Stock,Communication Services,06/25/2021
QQQM,88160R101,TSLA ,"63,261","42,503,168.07",3.907,Tesla Inc,Common Stock,Consumer Discretionary,06/25/2021
QQQM,02079K305,GOOGL ,"15,953","39,087,562.01",3.593,Alphabet Inc,Common Stock,Communication Services,06/25/2021
QQQM,67066G104,NVDA ,"50,282","38,276,669.68",3.519,NVIDIA Corp,Common Stock,Information Technology,06/25/2021
QQQM,70450Y103,PYPL ,"94,828","27,462,188.80",2.525,PayPal Holdings Inc,Common Stock,Information Technology,06/25/2021
QQQM,00724F101,ADBE ,"38,590","22,369,079.40",2.056,Adobe Inc,Common Stock,Information Technology,06/25/2021
QQQM,20030N101,CMCSA ,"370,142","20,883,411.64",1.920,Comcast Corp,Common Stock,Communication Services,06/25/2021
QQQM,64110L106,NFLX ,"35,787","18,862,254.09",1.734,Netflix Inc,Common Stock,Communication Services,06/25/2021
